year,logreal_gdp,trade_open,inv,hcapital,fin_dev,log_lapro
1950-01-01,7.660350578534223,0.245090768,0.180942443,3.039188385,9.5614,9.37388132986789
1951-01-01,7.6486744166594915,0.251009196,0.219340079,3.101251602,10.5614,9.365950057724117
1952-01-01,7.735907122595718,0.254465662,0.175421646,3.163314581,11.5614,9.46359182981359
1953-01-01,7.749882120216631,0.272476227,0.224200007,3.225377798,12.5614,9.465709840929204
1954-01-01,7.823067569400401,0.310826771,0.259103779,3.287440777,13.5614,9.524688639255173
1955-01-01,7.83503361616857,0.286520289,0.269107769,3.349503994,14.5614,9.531956359453801
1956-01-01,7.8399619126971265,0.287703608,0.262234345,3.439883232,15.5614,9.549596796947384
1957-01-01,7.850410975174433,0.2879668,0.251015727,3.53026247,16.5614,9.575029749980821
1958-01-01,7.844993051205649,0.276549555,0.239146746,3.62064147,17.5614,9.58514103993077
1959-01-01,7.865171237287735,0.272104335,0.247979169,3.711020708,18.5614,9.618654816453038
1960-01-01,7.896293275904423,0.274771726,0.25734899,3.801399946,19.5614,9.662822727402956
1961-01-01,7.912568221369161,0.25728945,0.254065714,3.858962059,19.4837,9.665410150721412
1962-01-01,7.931967639870396,0.281404389,0.231576185,3.916523933,18.6934,9.694993861919874
1963-01-01,7.919503477717532,0.261604088,0.23472032,3.974085808,18.1298,9.697918053429333
1964-01-01,7.9638524200538265,0.261218963,0.232027935,4.031647682,17.9003,9.743739537925958
1965-01-01,7.967214766017979,0.268181063,0.229826745,4.089210033,17.7842,9.813491734194294
1966-01-01,7.967031202483078,0.271767587,0.232856912,4.146771908,16.716,9.815088173379875
1967-01-01,8.007081579427199,0.279402536,0.256940577,4.204333782,16.2814,9.842384762763578
1968-01-01,8.022336897582102,0.297404275,0.259542893,4.261896133,17.4499,9.871972974275172
1969-01-01,8.017155504923412,0.267091132,0.241265749,4.319458008,18.0518,9.900964047078105
1970-01-01,8.05555083771918,0.262366726,0.238379336,4.377019882,15.5141,9.944451182235055
1971-01-01,8.085190093274527,0.291723694,0.284398754,4.481732845,13.8691,9.959781471096733
1972-01-01,8.151776255817133,0.333550037,0.225388884,4.586445808,13.5466,9.97885993190074
1973-01-01,8.312486289375743,0.380232777,0.206569086,4.691158772,12.2234,10.05568787392367
1974-01-01,8.4010494284998245,0.391548739,0.25458797,4.795871735,11.3508,10.071880683223009
1975-01-01,8.418121130725602,0.39199325,0.285347592,4.900585175,13.3104,10.082452626736375
1976-01-01,8.484348941312215,0.363406648,0.246380649,5.005298138,13.7104,10.141153688545364
1977-01-01,8.54344610401181,0.358622765,0.274612348,5.1100111009999996,14.0962,10.168960087089248
1978-01-01,8.576408266814342,0.349067579,0.289554149,5.214724064,14.9831,10.202575833895107
1979-01-01,8.613503701234587,0.333963918,0.264134184,5.319437027,14.5249,10.221661204359547
1980-01-01,8.634128184669297,0.334922877,0.274274331,5.42414999,12.1489,10.232665148674995
1981-01-01,8.636077017818561,0.312830565,0.231015128,5.5390291210000004,14.7759,10.231847955393667
1982-01-01,8.624448121314193,0.314766002,0.256622102,5.653907776,15.9613,10.202124791706213
1983-01-01,8.562692962298986,0.280092614,0.183062718,5.768786907,20.0372,10.140190804798868
1984-01-01,8.57217425985425,0.282588339,0.174308742,5.883666039,18.5728,10.139468968941491
1985-01-01,8.555193630544565,0.307322537,0.186692521,5.998544693,16.3369,10.140213201285622
1986-01-01,8.485865662982123,0.334814859,0.201066143,6.113423824,18.9998,10.129603699753655
1987-01-01,8.423256957710592,0.343766478,0.202319084,6.228302956,17.1687,10.025205729215603
1988-01-01,8.438789105397912,0.357662223,0.187158016,6.343182087,15.2437,10.087100590505813
1989-01-01,8.439436829491944,0.353997548,0.187870116,6.458060741,11.334,10.04905109304447
1990-01-01,8.479937640464057,0.343676117,0.149365529,6.572939873,10.9383,10.038211737289949
1991-01-01,8.495431127193793,0.373241572,0.186556312,6.67361784,10.9368,10.054289914473651
1992-01-01,8.511827055549613,0.379144751,0.17716091,6.774295807,11.4645,10.059375318948279
1993-01-01,8.464708934703209,0.399046851,0.174013371,6.874973774,13.3424,10.051537396985717
1994-01-01,8.49393420410626,0.428140931,0.185264341,6.975651741,17.8901,10.062912919371033
1995-01-01,8.494437273757919,0.45993078,0.176427338,7.076330185,22.1819,10.05664839687958
1996-01-01,8.497467431166772,0.435776306,0.157072975,7.177008152,23.3837,10.046714630823441
1997-01-01,8.516255350654276,0.464259396,0.169980617,7.277686119,23.6551,10.060386328363604
1998-01-01,8.49974086678227,0.462218668,0.193436657,7.378364086,26.3749,10.028611247968964
1999-01-01,8.437134217699759,0.442817029,0.107663863,7.479042053,34.3513,9.961558738584753
2000-01-01,8.503113752068687,0.426610654,0.131125165,7.57972002,34.3837,9.950847649004047
2001-01-01,8.55553209218339,0.432662916,0.163435292,7.702786922,24.3028,9.966520424454965
2002-01-01,8.631860488627007,0.428386675,0.175499323,7.825854301,20.413,9.99639807546432
2003-01-01,8.678566178770616,0.409380361,0.147311058,7.948921204,16.5975,10.013997038083971
2004-01-01,8.773856136346886,0.418561197,0.140530232,8.071988106,16.8658,10.02847309726425
2005-01-01,8.89254812218429,0.406420761,0.142050544,8.195055008,18.4233,10.053259975697399
2006-01-01,8.956464650180193,0.406116372,0.141224101,8.31812191,19.6253,10.051798349064638
2007-01-01,8.990036202764761,0.398633802,0.139967353,8.441189766,20.7523,10.067950597692876
2008-01-01,9.084718750320036,0.386568773,0.153334344,8.564256668,20.9918,10.112128693903037
2009-01-01,9.044113579852072,0.366776042,0.145559789,8.68732357,23.0664,10.117801306678832
2010-01-01,9.12056040469415,0.357974451,0.146524248,8.810390472,23.2594,10.149420240742423
2011-01-01,9.208848730107718,0.337359712,0.147217808,8.844734192,24.5993,10.205650979772043
2012-01-01,9.255672562655194,0.326598375,0.14407082,8.879077911,25.1824,10.222658744872135
2013-01-01,9.306376451145203,0.322073329,0.150434585,8.913422585,25.3008,10.242390559118448
2014-01-01,9.314156175047822,0.32723014,0.15467841,8.947766304,25.9032,10.266316147212818
